Architecture    Offer         Publisher    Sku                    Urn                                                           Version
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201708030              16.04.201708030
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201708110              16.04.201708110
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201708151              16.04.201708151
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201709190              16.04.201709190
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201710110              16.04.201710110
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201710261              16.04.201710261
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201711072              16.04.201711072
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201711160              16.04.201711160
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201711211              16.04.201711211
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201712080              16.04.201712080
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201801050              16.04.201801050
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201801090              16.04.201801090
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201801120              16.04.201801120
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201801220              16.04.201801220
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201801260              16.04.201801260
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201802220              16.04.201802220
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201803230              16.04.201803230
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201804050              16.04.201804050
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201804180              16.04.201804180
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201804240              16.04.201804240
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201804270              16.04.201804270
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201805090              16.04.201805090
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201805220              16.04.201805220
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201806120              16.04.201806120
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201806210              16.04.201806210
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201806220              16.04.201806220
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201807030              16.04.201807030
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201807240              16.04.201807240
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201808060              16.04.201808060
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201808140              16.04.201808140
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201808310              16.04.201808310
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201809120              16.04.201809120
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201810040              16.04.201810040
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201810230              16.04.201810230
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201810300              16.04.201810300
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201811010              16.04.201811010
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201811140              16.04.201811140
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201812040              16.04.201812040
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201812070              16.04.201812070
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201812230              16.04.201812230
x64             UbuntuServer  Canonical    16.04-LTS              Canonical:UbuntuServer:16.04-LTS:16.04.201901221              16.04.201901221
